Rank,Country/region,Ecological footprint,Biocapacity,Biocapacity deficit or reserve,Population (millions),Total biocapacity deficit or reserve (gMha),Population (millions) for biocapacity to equal ecological footprint *(gha/person)
0,World,2.75,1.63,-1.12,7753,-10400,2500
1,Luxembourg,15.82,1.68,-14.14,0.63,-7.35,0.055221
2,Aruba,11.88,0.57,-11.31,0.17,-1.13,0.004798
3,Qatar,10.8,1.24,-9.56,2.05,-19.60,0.23537
4,Australia,9.31,16.57,7.26,23.05,167.34,41.02454
5,United States,8.22,3.76,-4.46,329.5,-1416.05,145.2311
6,Canada,8.17,16.01,7.83,38,272.80,68.27275
7,Kuwait,8.13,0.55,-7.58,3.25,-24.64,0.219865
8,Singapore,7.97,0.05,-7.92,5.3,-41.98,0.03325
9,United Kingdom,7.93,0.56,-7.37,65.648,-483.83,4.635924
10,Trinidad and Tobago,7.92,1.56,-6.36,1.34,-8.52,0.263939
11,Montserrat,7.78,1.36,-6.42,0.005,-0.03,0.000874
12,Oman,7.52,1.92,-5.6,3.31,-18.54,0.845106
13,Bahrain,7.49,0.58,-6.91,1.32,-9.12,0.102216
14,Belgium,7.44,1.19,-6.25,11.6,-69.13,1.769005
15,Sweden,7.25,10.62,3.38,9.51,32.14,13.93051
16,Estonia,6.86,10.53,3.67,1.29,4.73,1.980131
17,Bahamas,6.84,9.55,2.71,0.37,1.00,0.516594
18,Latvia,6.29,9.55,3.26,2.06,6.72,3.127663
19,Israel,6.22,0.35,-5.87,9.1,-44.85,0.429904
20,Mongolia,6.08,15.66,9.58,2.8,26.82,7.211842
21,Austria,6.06,3.07,-3,8.46,-25.38,4.285842
22,Taiwan,5.93,1.0,-4.13,23.6,1.00,3.979764
22,Finland,5.87,13.44,7.57,5.41,40.95,12.38678
23,Lithuania,5.83,5.67,-0.17,3.03,-0.52,2.946844
24,Slovenia,5.81,2.35,-3.47,2.07,-7.18,0.837263
25,Switzerland,5.79,1.3,-4.48,8,-35.84,1.7962
26,Bermuda,5.77,0.13,-5.64,0.06,-0.34,0.001352
27,South Korea,5.69,0.68,-5.01,49,-245.49,5.855888
28,Russia,5.69,6.79,1.1,143.17,157.49,170.8479
29,Cayman Islands,5.65,0.32,-5.33,0.06,-0.32,0.003398
30,Saudi Arabia,5.61,0.5,-5.12,28.29,-144.84,2.52139
31,New Zealand,5.6,10.14,4.54,4.46,20.25,8.075786
32,Ireland,5.57,3.73,-1.83,4.58,-8.38,3.067038
33,Kazakhstan,5.55,3.41,-2.14,16.27,-34.82,9.996523
34,Denmark,5.51,4.78,-0.73,5.6,-4.09,4.858076
