stDate,teamAbbr,rank,rankOrd,gameWon,gameLost,stk,stkType,stkTot,gameBack,ptsFor,ptsAgnst,homeWin,homeLoss,awayWin,awayLoss,confWin,confLoss,lastFive,lastTen,gamePlay,ptsScore,ptsAllow,ptsDiff,opptGmPlay,opptGmWon,opptOpptGmPlay,opptOpptGmWon,sos,rel%Indx,mov,srs,pw%,pyth%13.91,wpyth13.91,lpyth13.91,pyth%16.5,wpyth16.5,lpyth16.5
2017-10-17,ATL,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,BKN,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,BOS,15,15th,0,1,L1,loss,1,1.0,99,102,0,0,0,1,0,1,0,0,1,99.0,102.0,-3.0,0,0,0,0,0.0,0.0,-3.0,-3.0,0.4012,0.3977,32.6114,49.3886,0.3793,31.1026,50.8974
2017-10-17,CHA,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,CHI,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,CLE,1,1st,1,0,W1,win,1,0.0,102,99,1,0,0,0,1,0,1,1,1,102.0,99.0,3.0,0,0,0,0,0.0,0.0,3.0,3.0,0.5988,0.6023,49.3886,32.6114,0.6207,50.8974,31.1026
2017-10-17,DAL,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,DEN,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,DET,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,GS,15,15th,0,1,L1,loss,1,1.0,121,122,0,1,0,0,0,1,0,0,1,121.0,122.0,-1.0,0,0,0,0,0.0,0.0,-1.0,-1.0,0.4671,0.4714,38.6548,43.3452,0.4661,38.2202,43.7798
2017-10-17,HOU,1,1st,1,0,W1,win,1,0.0,122,121,0,0,1,0,1,0,1,1,1,122.0,121.0,1.0,0,0,0,0,0.0,0.0,1.0,1.0,0.5329,0.5286,43.3452,38.6548,0.5339,43.7798,38.2202
2017-10-17,IND,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,LAC,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,LAL,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,MEM,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
2017-10-17,MIA,2,2nd,0,0,-,-,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,82.0,0.0,0.0,82.0
