Event,Name,Stroke,Time1,Time2,Time3
0,Emma,freestyle,00:50:313667,00:50:875398,00:50:646837
0,Emma,backstroke,00:56:720191,00:56:431243,00:56:941068
0,Emma,butterfly,00:41:927947,00:42:062812,00:42:007531
0,Emma,breaststroke,00:59:825463,00:59:397469,00:59:385919
0,Olivia,freestyle,00:45:566228,00:46:066985,00:46:044389
0,Olivia,backstroke,00:53:984872,00:54:575110,00:54:932723
0,Olivia,butterfly,01:12:548582,01:12:722369,01:13:105429
0,Olivia,breaststroke,00:49:230921,00:49:604561,00:49:120964
0,Sophia,freestyle,00:55:209625,00:54:790225,00:55:351528
0,Sophia,backstroke,00:45:236934,00:45:590178,00:45:397853
0,Sophia,butterfly,00:59:759540,00:59:920355,00:59:576989
0,Sophia,breaststroke,00:59:930751,01:00:200055,01:00:382663
0,Ava,freestyle,01:06:215970,01:06:443121,01:06:628715
0,Ava,backstroke,01:12:330658,01:13:056774,01:12:283593
0,Ava,butterfly,00:41:830549,00:42:389155,00:42:581063
0,Ava,breaststroke,00:49:520594,00:49:421166,00:49:631659
0,Isabella,freestyle,00:43:765925,00:44:222031,00:44:383384
0,Isabella,backstroke,01:07:401539,01:07:439096,01:07:800558
0,Isabella,butterfly,01:00:566173,01:00:167859,01:00:285536
0,Isabella,breaststroke,01:04:195998,01:04:139671,01:04:850802
0,Mia,freestyle,01:02:431027,01:02:331599,01:02:367739
0,Mia,backstroke,01:07:263072,01:07:183198,01:07:310495
0,Mia,butterfly,01:10:777971,01:10:476777,01:10:532418
0,Mia,breaststroke,00:56:501751,00:56:265916,00:56:618886
0,Abigail,freestyle,01:06:689970,01:06:740301,01:06:050534
0,Abigail,backstroke,01:01:988810,01:02:422029,01:02:062273
0,Abigail,butterfly,00:54:601381,00:54:531919,00:54:322800
0,Abigail,breaststroke,00:48:124280,00:47:908176,00:48:130944
0,Emily,freestyle,00:58:643109,00:59:058691,00:58:547913
0,Emily,backstroke,00:40:878186,00:40:917276,00:41:136988
0,Emily,butterfly,01:02:791104,01:03:031419,01:02:786640
0,Emily,breaststroke,01:09:468694,01:08:915608,01:09:029606
0,Charlotte,freestyle,00:59:981614,01:00:328054,01:00:029067
0,Charlotte,backstroke,00:55:805306,00:55:274372,00:55:152726
0,Charlotte,butterfly,00:48:230217,00:48:597282,00:48:217275
0,Charlotte,breaststroke,00:57:870012,00:57:945859,00:58:786793
0,Harper,freestyle,00:49:129333,00:48:770098,00:49:482825
0,Harper,backstroke,00:54:942205,00:54:532404,00:54:039925
