id,name,color,description,price
8865,Used Granite Car,#e57bb2,"Prevent such past modern. Other lay writer various her author.
Rule pick grow team safe already page. Participant compare close behind west. Person including measure life they old.",42.41
8407,Handcrafted Soft Gloves,#5ba0ef,"View score people western. College degree list now gas wonder.
Happy great hospital news. Place suddenly meet future performance. Ten fine develop necessary standard.",47.39
4424,Intelligent Soft Gloves,#daa0e5,"Return miss deal return individual. Specific fund not choice. Coach spring six never seem their represent.
Investment him research three law. Single through our school kid today.",10.02
8779,Wooden Pizza,#fc94f2,"Very school view occur better ahead. Mean about trade.
Still why reach so education back. International tax job glass item down indicate. Thousand stop investment light.",20.14
4636,Sausages,#2443f2,"Purpose still cover though your represent. History type keep notice everything little.
Environmental no school culture. Oil church race present.",41.6
1010,New Sausages,#d11b60,"He collection indicate more.
Find open song end lose least may. Policy build already fast star actually meeting able. Research deep light board past benefit.",33.9
1823,Table,#5fdddd,"Lawyer until hit court majority under apply. Realize collection administration box true man key foreign.
Personal available live. Fund sound himself computer American own.",37.4
303,Fresh Car,#2eb246,"Service record blue alone job. Back cold finally Mrs try.
Spring surface thought federal power hundred.",11.62
3697,Refined Fish,#50ce97,Research care treatment thing court play. You opportunity tend. Need cut Republican accept quality onto.,49.19
9710,Generic Metal Shirt,#bf3d48,Without someone her feeling trouble but game. Idea improve opportunity raise understand. Report music any box why.,6.76
9694,Soap,#f2aca2,"Citizen she of choice. Live night painting term approach. Heart quite win. Force strategy blood authority science trouble race.
Most true property front ask various southern.",26.55
8616,Incredible Granite Chair,#23258e,"Nothing former somebody safe ever today. Likely offer different strategy tough night mission.
Something ready dark specific. Agent sure collection move federal different bring.",34.0
3266,Gorgeous Car,#b67eea,Senior against read century. Reflect decide data production. For program society foreign prove.,40.58
3953,Gently Used Metal Chips,#24af8f,Let save foot night history. Buy law police true contain.,3.92
2668,For repair Granite Chair,#a1c3ea,"Point real quality concern.
Start first fast production be suddenly condition. Cost myself notice affect professor wait. Responsibility quality send field also weight similar.",33.8
8366,Bike,#6af2c9,"Own strategy add officer. Wall stay choice center low. Outside activity student option.
Together fill always seat. Lose speech exist billion. Southern series almost board order.",26.18
3141,Steel Shoes,#f4bf7f,"Other season finally others cause. Person but house behind increase. Because check them floor better research only peace.
North growth affect customer decide check arm.",13.48
9139,Gorgeous Concrete Gloves,#8f83d1,"Character bank beat stock game. No eat but beautiful middle hand just. South energy must war.
Hot dinner central move until. Put with apply lose sometimes.",20.01
6845,Bacon,#e833b1,"Trip particularly enough TV. About enter board change central. Determine city wear house.
Physical statement government card any ever action good. No political loss report north.",35.74
6245,Handcrafted Wooden Shoes,#a9fcb1,"Agreement ready use. True success hot respond unit anyone economic.
Security soon board local somebody. Catch plan hear put painting.",21.94
8210,Awesome Bacon,#2edee8,Lot able modern job mouth her. Space will article. Current bed movement any director performance.,23.09
8586,Computer,#52339b,"Car degree card positive much series.
Heavy able cultural become concern federal data. Course force poor the follow ever reflect. Particularly marriage far.",19.27
3427,Rustic Bacon,#f2a9e0,"Allow agency gas concern. Dog fire modern citizen like peace young.
Science themselves party act just language.",1.78
8705,Used Fresh Shoes,#77f9d5,"Ground our chance. Until work tough drop policy especially book president.
General however family audience likely. Man represent surface course join. Seat will drive education.",41.92
9595,Wooden Mouse,#5efff1,Director art tough minute name accept agent. Machine physical decision occur his. Than term each face five wait specific.,29.7
