trip_id,trip_duration_minutes,started_at,ended_at,start_station_name,end_station_name,rider_type,bike_id
100000,10.0,2025-06-01 00:07:12,2025-06-01 00:17:12,Union Station,Kensington Market,Annual Member,5100
100001,19.1,2025-06-01 00:15:54,2025-06-01 00:35:00,Harbourfront Centre,Bloor-Yonge,Casual,5101
100002,37.1,2025-06-01 01:00:49,2025-06-01 01:37:55,Harbourfront Centre,Bloor-Yonge,Annual Member,5102
100003,28.5,2025-06-01 01:47:30,2025-06-01 02:16:00,Kensington Market,High Park,Casual,5103
100004,5.5,2025-06-01 02:17:58,2025-06-01 02:23:28,Kensington Market,High Park,Annual Member,5104
100005,36.0,2025-06-01 02:03:12,2025-06-01 02:39:12,Bloor-Yonge,Riverdale Park,Casual,5105
100006,8.9,2025-06-01 03:17:01,2025-06-01 03:25:55,Bloor-Yonge,Riverdale Park,Annual Member,5106
100007,17.8,2025-06-01 03:55:16,2025-06-01 04:13:04,High Park,Union Station,Casual,5107
100008,19.4,2025-06-01 04:00:40,2025-06-01 04:20:04,High Park,Union Station,Annual Member,5108
100009,26.2,2025-06-01 04:51:08,2025-06-01 05:17:20,Riverdale Park,Harbourfront Centre,Casual,5109
100010,13.9,2025-06-01 05:17:54,2025-06-01 05:31:48,Riverdale Park,Harbourfront Centre,Annual Member,5110
100011,28.0,2025-06-01 05:29:34,2025-06-01 05:57:34,Union Station,Kensington Market,Casual,5111
100012,24.6,2025-06-01 06:13:27,2025-06-01 06:38:03,Union Station,Kensington Market,Annual Member,5112
100013,14.7,2025-06-01 06:38:12,2025-06-01 06:52:54,Harbourfront Centre,Bloor-Yonge,Casual,5113
100014,19.4,2025-06-01 07:25:07,2025-06-01 07:44:31,Harbourfront Centre,Bloor-Yonge,Annual Member,5114
100015,26.8,2025-06-01 07:57:24,2025-06-01 08:24:12,Kensington Market,High Park,Casual,5115
100016,19.0,2025-06-01 07:41:43,2025-06-01 08:00:43,Bloor-Yonge,Riverdale Park,Annual Member,5116
100017,31.2,2025-06-01 07:38:32,2025-06-01 08:09:44,High Park,Union Station,Casual,5117
100018,16.9,2025-06-01 07:08:54,2025-06-01 07:25:48,Riverdale Park,Harbourfront Centre,Annual Member,5118
100019,26.1,2025-06-01 07:43:19,2025-06-01 08:09:25,Union Station,Kensington Market,Casual,5119
100020,53.3,2025-06-01 08:22:49,2025-06-01 09:16:07,Kensington Market,High Park,Annual Member,5120
100021,34.5,2025-06-01 08:20:28,2025-06-01 08:54:58,Bloor-Yonge,Riverdale Park,Casual,5121
100022,15.5,2025-06-01 08:54:03,2025-06-01 09:09:33,High Park,Union Station,Annual Member,5122
100023,30.8,2025-06-01 08:43:14,2025-06-01 09:14:02,Riverdale Park,Harbourfront Centre,Casual,5123
100024,14.9,2025-06-01 08:59:23,2025-06-01 09:14:17,Union Station,Kensington Market,Annual Member,5124
100025,12.9,2025-06-01 08:23:10,2025-06-01 08:36:04,Harbourfront Centre,Bloor-Yonge,Casual,5125
100026,17.9,2025-06-01 08:00:18,2025-06-01 08:18:12,Kensington Market,High Park,Annual Member,5126
100027,13.5,2025-06-01 08:57:23,2025-06-01 09:10:53,Bloor-Yonge,Riverdale Park,Casual,5127
100028,24.0,2025-06-01 08:53:41,2025-06-01 09:17:41,High Park,Union Station,Annual Member,5128
100029,21.2,2025-06-01 09:56:20,2025-06-01 10:17:32,Bloor-Yonge,Riverdale Park,Annual Member,5129
100030,27.5,2025-06-01 09:23:32,2025-06-01 09:51:02,High Park,Union Station,Casual,5130
100031,15.0,2025-06-01 09:47:54,2025-06-01 10:02:54,Riverdale Park,Harbourfront Centre,Annual Member,5131
100032,25.2,2025-06-01 09:42:21,2025-06-01 10:07:33,Union Station,Kensington Market,Casual,5132
100033,21.3,2025-06-01 09:08:44,2025-06-01 09:30:02,Harbourfront Centre,Bloor-Yonge,Annual Member,5133
100034,17.9,2025-06-01 09:48:27,2025-06-01 10:06:21,Kensington Market,High Park,Casual,5134
100035,15.1,2025-06-01 10:08:26,2025-06-01 10:23:32,High Park,Union Station,Annual Member,5135
100036,27.0,2025-06-01 10:10:29,2025-06-01 10:37:29,Riverdale Park,Harbourfront Centre,Casual,5136
100037,30.7,2025-06-01 10:11:26,2025-06-01 10:42:08,Union Station,Kensington Market,Annual Member,5137
100038,23.8,2025-06-01 10:48:52,2025-06-01 11:12:40,Harbourfront Centre,Bloor-Yonge,Casual,5138
100039,10.3,2025-06-01 11:55:24,2025-06-01 12:05:42,Riverdale Park,Harbourfront Centre,Annual Member,5139
100040,28.0,2025-06-01 11:29:23,2025-06-01 11:57:23,Union Station,Kensington Market,Casual,5140
100041,29.0,2025-06-01 11:48:50,2025-06-01 12:17:50,Harbourfront Centre,Bloor-Yonge,Annual Member,5141
100042,17.6,2025-06-01 11:44:04,2025-06-01 12:01:40,Kensington Market,High Park,Casual,5142
100043,19.4,2025-06-01 11:46:48,2025-06-01 12:06:12,Bloor-Yonge,Riverdale Park,Annual Member,5143
100044,38.4,2025-06-01 11:00:54,2025-06-01 11:39:18,High Park,Union Station,Casual,5144
100045,11.6,2025-06-01 11:30:26,2025-06-01 11:42:02,Riverdale Park,Harbourfront Centre,Annual Member,5145
100046,13.7,2025-06-01 12:13:15,2025-06-01 12:26:57,Union Station,Kensington Market,Annual Member,5146
100047,12.5,2025-06-01 12:49:47,2025-06-01 13:02:17,Harbourfront Centre,Bloor-Yonge,Casual,5147
100048,18.0,2025-06-01 12:14:46,2025-06-01 12:32:46,Kensington Market,High Park,Annual Member,5148
100049,14.5,2025-06-01 12:37:59,2025-06-01 12:52:29,Bloor-Yonge,Riverdale Park,Casual,5149
100050,15.8,2025-06-01 12:41:24,2025-06-01 12:57:12,High Park,Union Station,Annual Member,5150
100051,52.7,2025-06-01 12:02:33,2025-06-01 12:55:15,Riverdale Park,Harbourfront Centre,Casual,5151
100052,13.0,2025-06-01 12:41:16,2025-06-01 12:54:16,Union Station,Kensington Market,Annual Member,5152
100053,19.2,2025-06-01 13:27:55,2025-06-01 13:47:07,Harbourfront Centre,Bloor-Yonge,Annual Member,5153
100054,21.5,2025-06-01 13:36:26,2025-06-01 13:57:56,Kensington Market,High Park,Casual,5154
100055,13.0,2025-06-01 13:25:25,2025-06-01 13:38:25,Bloor-Yonge,Riverdale Park,Annual Member,5155
100056,25.2,2025-06-01 13:38:19,2025-06-01 14:03:31,High Park,Union Station,Casual,5156
100057,24.9,2025-06-01 13:25:02,2025-06-01 13:49:56,Riverdale Park,Harbourfront Centre,Annual Member,5157
100058,28.8,2025-06-01 13:07:08,2025-06-01 13:35:56,Union Station,Kensington Market,Casual,5158
100059,29.1,2025-06-01 13:54:10,2025-06-01 14:23:16,Harbourfront Centre,Bloor-Yonge,Annual Member,5159
100060,20.6,2025-06-01 14:01:36,2025-06-01 14:22:12,Kensington Market,High Park,Annual Member,5160
100061,22.1,2025-06-01 14:33:50,2025-06-01 14:55:56,Bloor-Yonge,Riverdale Park,Casual,5161
100062,26.3,2025-06-01 14:49:21,2025-06-01 15:15:39,High Park,Union Station,Annual Member,5162
100063,17.7,2025-06-01 14:13:43,2025-06-01 14:31:25,Riverdale Park,Harbourfront Centre,Casual,5163
100064,29.1,2025-06-01 14:49:12,2025-06-01 15:18:18,Union Station,Kensington Market,Annual Member,5164
100065,29.4,2025-06-01 14:23:36,2025-06-01 14:53:00,Harbourfront Centre,Bloor-Yonge,Casual,5165
100066,20.0,2025-06-01 14:19:22,2025-06-01 14:39:22,Kensington Market,High Park,Annual Member,5166
100067,26.8,2025-06-01 15:26:00,2025-06-01 15:52:48,Bloor-Yonge,Riverdale Park,Annual Member,5167
100068,25.6,2025-06-01 15:29:46,2025-06-01 15:55:22,High Park,Union Station,Casual,5168
100069,9.3,2025-06-01 15:03:08,2025-06-01 15:12:26,Riverdale Park,Harbourfront Centre,Annual Member,5169
100070,30.8,2025-06-01 15:15:11,2025-06-01 15:45:59,Union Station,Kensington Market,Casual,5170
100071,34.9,2025-06-01 15:21:52,2025-06-01 15:56:46,Harbourfront Centre,Bloor-Yonge,Annual Member,5171
100072,24.9,2025-06-01 15:35:11,2025-06-01 16:00:05,Kensington Market,High Park,Casual,5172
100073,8.4,2025-06-01 15:35:45,2025-06-01 15:44:09,Bloor-Yonge,Riverdale Park,Annual Member,5173
100074,13.8,2025-06-01 16:06:07,2025-06-01 16:19:55,High Park,Union Station,Annual Member,5174
100075,22.9,2025-06-01 16:04:25,2025-06-01 16:27:19,Riverdale Park,Harbourfront Centre,Casual,5175
100076,18.8,2025-06-01 16:34:12,2025-06-01 16:53:00,Union Station,Kensington Market,Annual Member,5176
100077,11.4,2025-06-01 16:19:11,2025-06-01 16:30:35,Harbourfront Centre,Bloor-Yonge,Casual,5177
100078,12.6,2025-06-01 16:57:49,2025-06-01 17:10:25,Kensington Market,High Park,Annual Member,5178
100079,29.2,2025-06-01 16:39:55,2025-06-01 17:09:07,Bloor-Yonge,Riverdale Park,Casual,5179
100080,13.8,2025-06-01 16:17:40,2025-06-01 16:31:28,High Park,Union Station,Annual Member,5000
100081,32.4,2025-06-01 16:15:16,2025-06-01 16:47:40,Riverdale Park,Harbourfront Centre,Casual,5001
100082,15.4,2025-06-01 16:30:04,2025-06-01 16:45:28,Union Station,Kensington Market,Annual Member,5002
100083,9.1,2025-06-01 17:57:38,2025-06-01 18:06:44,Riverdale Park,Harbourfront Centre,Annual Member,5003
100084,43.1,2025-06-01 17:28:12,2025-06-01 18:11:18,Union Station,Kensington Market,Casual,5004
100085,12.9,2025-06-01 17:35:53,2025-06-01 17:48:47,Harbourfront Centre,Bloor-Yonge,Annual Member,5005
100086,36.4,2025-06-01 17:20:45,2025-06-01 17:57:09,Kensington Market,High Park,Casual,5006
100087,48.5,2025-06-01 17:46:35,2025-06-01 18:35:05,Bloor-Yonge,Riverdale Park,Annual Member,5007
100088,26.7,2025-06-01 17:04:53,2025-06-01 17:31:35,High Park,Union Station,Casual,5008
100089,15.9,2025-06-01 17:34:24,2025-06-01 17:50:18,Riverdale Park,Harbourfront Centre,Annual Member,5009
100090,44.2,2025-06-01 17:54:35,2025-06-01 18:38:47,Union Station,Kensington Market,Casual,5010
100091,13.5,2025-06-01 17:44:00,2025-06-01 17:57:30,Harbourfront Centre,Bloor-Yonge,Annual Member,5011
100092,38.0,2025-06-01 17:41:47,2025-06-01 18:19:47,Kensington Market,High Park,Casual,5012
100093,13.7,2025-06-01 17:55:26,2025-06-01 18:09:08,Bloor-Yonge,Riverdale Park,Annual Member,5013
100094,30.8,2025-06-01 17:18:00,2025-06-01 17:48:48,High Park,Union Station,Casual,5014
100095,20.7,2025-06-01 18:31:12,2025-06-01 18:51:54,Union Station,Kensington Market,Annual Member,5015
100096,16.2,2025-06-01 18:23:40,2025-06-01 18:39:52,Harbourfront Centre,Bloor-Yonge,Casual,5016
100097,20.0,2025-06-01 18:27:41,2025-06-01 18:47:41,Kensington Market,High Park,Annual Member,5017
100098,44.1,2025-06-01 18:21:01,2025-06-01 19:05:07,Bloor-Yonge,Riverdale Park,Casual,5018
100099,21.9,2025-06-01 18:08:02,2025-06-01 18:29:56,High Park,Union Station,Annual Member,5019
100100,28.4,2025-06-01 18:26:34,2025-06-01 18:54:58,Riverdale Park,Harbourfront Centre,Casual,5020
100101,8.6,2025-06-01 18:32:45,2025-06-01 18:41:21,Union Station,Kensington Market,Annual Member,5021
100102,17.8,2025-06-01 18:43:23,2025-06-01 19:01:11,Harbourfront Centre,Bloor-Yonge,Casual,5022
100103,16.5,2025-06-01 18:44:53,2025-06-01 19:01:23,Kensington Market,High Park,Annual Member,5023
100104,11.1,2025-06-01 19:17:57,2025-06-01 19:29:03,Harbourfront Centre,Bloor-Yonge,Annual Member,5024
100105,33.9,2025-06-01 19:04:12,2025-06-01 19:38:06,Kensington Market,High Park,Casual,5025
100106,10.0,2025-06-01 19:58:42,2025-06-01 20:08:42,Bloor-Yonge,Riverdale Park,Annual Member,5026
100107,21.0,2025-06-01 19:33:19,2025-06-01 19:54:19,High Park,Union Station,Casual,5027
100108,35.8,2025-06-01 19:48:58,2025-06-01 20:24:46,Riverdale Park,Harbourfront Centre,Annual Member,5028
100109,16.6,2025-06-01 19:25:53,2025-06-01 19:42:29,Union Station,Kensington Market,Casual,5029
100110,18.3,2025-06-01 20:07:02,2025-06-01 20:25:20,Kensington Market,High Park,Annual Member,5030
100111,25.9,2025-06-01 20:43:27,2025-06-01 21:09:21,Bloor-Yonge,Riverdale Park,Casual,5031
100112,7.7,2025-06-01 21:23:22,2025-06-01 21:31:04,Bloor-Yonge,Riverdale Park,Annual Member,5032
100113,30.2,2025-06-01 21:20:18,2025-06-01 21:50:30,High Park,Union Station,Casual,5033
100114,13.6,2025-06-01 22:09:50,2025-06-01 22:23:26,High Park,Union Station,Annual Member,5034
100115,22.8,2025-06-01 22:38:02,2025-06-01 23:00:50,Riverdale Park,Harbourfront Centre,Casual,5035
100116,21.1,2025-06-01 23:55:11,2025-06-02 00:16:17,Riverdale Park,Harbourfront Centre,Annual Member,5036
100117,35.4,2025-06-01 23:53:09,2025-06-02 00:28:33,Union Station,Kensington Market,Casual,5037
100118,21.4,2025-06-02 00:13:59,2025-06-02 00:35:23,Harbourfront Centre,Bloor-Yonge,Annual Member,5038
100119,33.5,2025-06-02 00:11:02,2025-06-02 00:44:32,Kensington Market,High Park,Casual,5039
100120,10.8,2025-06-02 01:51:56,2025-06-02 02:02:44,Kensington Market,High Park,Annual Member,5040
100121,46.0,2025-06-02 01:10:23,2025-06-02 01:56:23,Bloor-Yonge,Riverdale Park,Casual,5041
100122,24.1,2025-06-02 02:55:07,2025-06-02 03:19:13,Bloor-Yonge,Riverdale Park,Annual Member,5042
100123,28.5,2025-06-02 02:53:25,2025-06-02 03:21:55,High Park,Union Station,Casual,5043
100124,24.1,2025-06-02 03:31:21,2025-06-02 03:55:27,High Park,Union Station,Annual Member,5044
100125,24.7,2025-06-02 03:29:50,2025-06-02 03:54:32,Riverdale Park,Harbourfront Centre,Casual,5045
100126,36.7,2025-06-02 04:32:18,2025-06-02 05:09:00,Riverdale Park,Harbourfront Centre,Annual Member,5046
100127,15.5,2025-06-02 04:10:38,2025-06-02 04:26:08,Union Station,Kensington Market,Casual,5047
100128,14.1,2025-06-02 05:09:45,2025-06-02 05:23:51,Union Station,Kensington Market,Annual Member,5048
100129,25.2,2025-06-02 05:09:14,2025-06-02 05:34:26,Harbourfront Centre,Bloor-Yonge,Casual,5049
100130,30.7,2025-06-02 06:18:31,2025-06-02 06:49:13,Harbourfront Centre,Bloor-Yonge,Annual Member,5050
100131,24.0,2025-06-02 06:02:02,2025-06-02 06:26:02,Kensington Market,High Park,Casual,5051
100132,21.5,2025-06-02 07:36:00,2025-06-02 07:57:30,Kensington Market,High Park,Annual Member,5052
100133,20.8,2025-06-02 07:45:25,2025-06-02 08:06:13,Bloor-Yonge,Riverdale Park,Casual,5053
100134,17.7,2025-06-02 07:33:36,2025-06-02 07:51:18,High Park,Union Station,Annual Member,5054
100135,26.9,2025-06-02 07:14:46,2025-06-02 07:41:40,Riverdale Park,Harbourfront Centre,Casual,5055
100136,13.0,2025-06-02 07:50:26,2025-06-02 08:03:26,Union Station,Kensington Market,Annual Member,5056
100137,14.1,2025-06-02 07:28:53,2025-06-02 07:42:59,Harbourfront Centre,Bloor-Yonge,Casual,5057
100138,9.4,2025-06-02 08:51:46,2025-06-02 09:01:10,Bloor-Yonge,Riverdale Park,Annual Member,5058
100139,22.4,2025-06-02 08:12:37,2025-06-02 08:35:01,High Park,Union Station,Casual,5059
100140,20.2,2025-06-02 08:52:59,2025-06-02 09:13:11,Riverdale Park,Harbourfront Centre,Annual Member,5060
100141,63.0,2025-06-02 08:40:31,2025-06-02 09:43:31,Union Station,Kensington Market,Casual,5061
100142,21.5,2025-06-02 08:01:23,2025-06-02 08:22:53,Harbourfront Centre,Bloor-Yonge,Annual Member,5062
100143,28.1,2025-06-02 08:24:12,2025-06-02 08:52:18,Kensington Market,High Park,Casual,5063
100144,17.3,2025-06-02 08:12:05,2025-06-02 08:29:23,Bloor-Yonge,Riverdale Park,Annual Member,5064
100145,8.2,2025-06-02 08:33:26,2025-06-02 08:41:38,High Park,Union Station,Casual,5065
100146,31.2,2025-06-02 08:40:33,2025-06-02 09:11:45,Riverdale Park,Harbourfront Centre,Annual Member,5066
100147,33.8,2025-06-02 09:28:46,2025-06-02 10:02:34,High Park,Union Station,Annual Member,5067
100148,24.3,2025-06-02 09:55:12,2025-06-02 10:19:30,Riverdale Park,Harbourfront Centre,Casual,5068
100149,28.2,2025-06-02 09:18:14,2025-06-02 09:46:26,Union Station,Kensington Market,Annual Member,5069
100150,43.2,2025-06-02 09:07:24,2025-06-02 09:50:36,Harbourfront Centre,Bloor-Yonge,Casual,5070
100151,14.3,2025-06-02 09:10:51,2025-06-02 09:25:09,Kensington Market,High Park,Annual Member,5071
100152,28.1,2025-06-02 09:51:10,2025-06-02 10:19:16,Bloor-Yonge,Riverdale Park,Casual,5072
100153,13.0,2025-06-02 10:26:15,2025-06-02 10:39:15,Riverdale Park,Harbourfront Centre,Annual Member,5073
100154,36.5,2025-06-02 10:05:19,2025-06-02 10:41:49,Union Station,Kensington Market,Casual,5074
100155,24.0,2025-06-02 10:46:45,2025-06-02 11:10:45,Harbourfront Centre,Bloor-Yonge,Annual Member,5075
100156,20.2,2025-06-02 10:30:09,2025-06-02 10:50:21,Kensington Market,High Park,Casual,5076
100157,11.4,2025-06-02 11:02:14,2025-06-02 11:13:38,Union Station,Kensington Market,Annual Member,5077
100158,35.0,2025-06-02 11:09:46,2025-06-02 11:44:46,Harbourfront Centre,Bloor-Yonge,Casual,5078
100159,13.8,2025-06-02 11:47:30,2025-06-02 12:01:18,Kensington Market,High Park,Annual Member,5079
100160,21.8,2025-06-02 11:47:01,2025-06-02 12:08:49,Bloor-Yonge,Riverdale Park,Casual,5080
100161,23.2,2025-06-02 12:35:16,2025-06-02 12:58:28,Harbourfront Centre,Bloor-Yonge,Annual Member,5081
100162,31.6,2025-06-02 12:05:45,2025-06-02 12:37:21,Kensington Market,High Park,Casual,5082
100163,17.7,2025-06-02 12:30:12,2025-06-02 12:47:54,Bloor-Yonge,Riverdale Park,Annual Member,5083
100164,19.6,2025-06-02 12:53:37,2025-06-02 13:13:13,High Park,Union Station,Casual,5084
100165,19.2,2025-06-02 13:07:07,2025-06-02 13:26:19,Kensington Market,High Park,Annual Member,5085
100166,35.4,2025-06-02 13:47:44,2025-06-02 14:23:08,Bloor-Yonge,Riverdale Park,Casual,5086
100167,18.2,2025-06-02 13:14:43,2025-06-02 13:32:55,High Park,Union Station,Annual Member,5087
100168,52.0,2025-06-02 13:24:08,2025-06-02 14:16:08,Riverdale Park,Harbourfront Centre,Casual,5088
100169,25.9,2025-06-02 14:27:07,2025-06-02 14:53:01,Bloor-Yonge,Riverdale Park,Annual Member,5089
100170,48.7,2025-06-02 14:53:49,2025-06-02 15:42:31,High Park,Union Station,Casual,5090
100171,15.1,2025-06-02 14:00:08,2025-06-02 14:15:14,Riverdale Park,Harbourfront Centre,Annual Member,5091
100172,40.9,2025-06-02 14:59:51,2025-06-02 15:40:45,Union Station,Kensington Market,Casual,5092
100173,20.8,2025-06-02 15:20:07,2025-06-02 15:40:55,High Park,Union Station,Annual Member,5093
100174,20.8,2025-06-02 15:38:59,2025-06-02 15:59:47,Riverdale Park,Harbourfront Centre,Casual,5094
100175,21.9,2025-06-02 15:38:23,2025-06-02 16:00:17,Union Station,Kensington Market,Annual Member,5095
100176,24.7,2025-06-02 15:45:26,2025-06-02 16:10:08,Harbourfront Centre,Bloor-Yonge,Casual,5096
