Release,Movie,Bond,Bond_Car_MFG,US_Gross,World_Gross,Budget ($ 000s),Film_Length,Avg_User_IMDB,Avg_User_Rtn_Tom,Martinis,Kills_Bond
"June, 1962",Dr. No,Sean Connery,Sunbeam," $16,067,035.00 "," $59,567,035.00 "," $1,000.00 ",110 mins,7.3,7.7,2,4
"August, 1963",From Russia with Love,Sean Connery,Bently," $24,800,000.00 "," $78,900,000.00 "," $2,000.00 ",115 mins,7.5,8,0,11
"May, 1964",Goldfinger,Sean Connery,Aston Martin," $51,100,000.00 "," $124,900,000.00 "," $3,000.00 ",110 mins,7.8,8.4,1,9
"September, 1965",Thunderball,Sean Connery,Aston Martin," $63,600,000.00 "," $141,200,000.00 "," $9,000.00 ",130 mins,7,6.8,0,20
"November, 1967",You Only Live Twice,Sean Connery,Toyota," $43,100,000.00 "," $111,600,000.00 "," $9,500.00 ",117 mins,6.9,6.3,1,21
"July, 1969",On Her Majesty's Secret Service,George Lazenby,Mercury," $22,800,000.00 "," $82,000,000.00 "," $8,000.00 ",142 mins,6.8,6.7,1,5
"March, 1971",Diamonds Are Forever,Shawn Connery,Ford," $43,800,000.00 "," $116,000,000.00 "," $7,200.00 ",1200 mins,6.7,6.3,0,7
"August, 1973",Live and Let Die,Roger Moore,AMC," $35,400,000.00 "," $161,800,000.00 "," $7,000.00 ",121 mins,6.8,5.9,0,8
"July, 1974",The Man with the Golden Gun,Roger Moore,AMC," $21,000,000.00 "," $97,600,000.00 "," $7,000.00 ",125 mins,6.7,5.1,0,1
"July, 1974",The Man with the Golden Gun,Roger Moore,AMC," $21,000,000.00 "," $97,600,000.00 "," $7,000.00 ",125 mins,6.7,5.1,0,1
"April, 1977",The Spy Who Loved Me,Roger Moore,Lotus," $46,800,000.00 "," $185,400,000.00 "," $14,000.00 ",125 mins,,,1,31
"October, 1979",Moonraker,Roger Moore,Lotus," $70,300,000.00 "," $210,300,000.00 "," $31,000.00 ",126 mins,6.2,5.7,1,12
"June, 1981",For Your Eyes Only,Roger MOORE,Citroen," $54,800,000.00 "," $195,300,000.00 "," $28,000.00 ",127 mins,6.8,6.3,0,18
"March, 1983",Octopussy,Roger Moore,Bajaj," $67,900,000.00 "," $187,500,000.00 "," $27,500.00 ",131 mins,6.5,5.3,0,15
"October, 1985",A View to a Kill,Roger Moore,Rolls Royce," $50,327,960.00 "," $152,627,960.00 "," $30,000.00 ",131 mins,6.2,4.7,0,5
"May, 1987",The Living Daylights,Timothy Dalton,Rolls Royce," $51,185,000.00 "," $191,200,000.00 "," $40,000.00 ",130 mins,6.7,6.3,2,13
"May, 1987",The Living Daylights,Timothy Dalton,Rolls Royce," $51,185,000.00 "," $191,200,000.00 "," $40,000.00 ",130 mins,6.7,6.3,2,13
"January, 1989",License to Kill,Timothy Dalton,Aston Martin," $34,667,015.00 "," $156,167,015.00 "," $42,000.00 ",133 mins,6.5,6,1,10
"September, 1995",GoldenEye,Pierce Brosnan,BMW," $106,429,941.00 "," $356,429,941.00 "," $60,000.00 ",130 mins,7.2,6.9,1,47
"July, 1997",Tomorrow Never Dies,Pierce Brosnan,Aston Martin," $125,304,276.00 "," $339,504,276.00 "," $110,000.00 ",119 mins,6.4,6,1,30
"June, 1999",The World Is Not Enough,Pierce Brosnan,BMW," $126,930,660.00 "," $361,730,660.00 "," $135,000.00 ",128 mins,6.3,5.7,1,27
"August, 2002",Die Another Day,Pierce Brosnan,Aston Martin," $160,942,139.00 "," $431,942,139.00 "," $142,000.00 ",133 mins,6,6.1,2,31
"February, 2006",Casino Royale,Daniel Craig,Astin Martin," $167,365,000.00 "," $596,365,000.00 "," $102,000.00 ",144 mins,7.9,7.8,3,11
"December, 2008",Quantum of Solace,Daniel Craig,Aston Martin," $169,368,427.00 "," $591,692,078.00 "," $230,000.00 ",106 mins,6.7,6.1,-6,16
"November, 2012",Skyfall,Daniel Craig,Astin Martin," $304,360,277.00 "," $1,108,561,108.00 "," $200,000.00 ",143 mins,7.8,8.2,1,26
"September, 2015",Spectre,Daniel Craig,Aston Martin," $200,074,175.00 "," $879,620,923.00 "," $245,000.00 ",148 mins,6.8,6.4,1,30
"November, 2021",No Time to Die,Daniel Craig,Aston Martin," $160,891,007.00 "," $759,959,662.00 "," $275,000.00 ",163 mins,7.3,7.3,1,14
