python,threads,seconds
3.12,1,1.3134276199998567
3.12,1,1.3196520090004924
3.12,1,1.346437557000172
3.12,1,1.3664149180003733
3.12,1,1.4048051679992568
3.12,2,2.694117006999477
3.12,2,2.7276749100001325
3.12,2,2.7314533869994193
3.12,2,2.7329147159998683
3.12,2,2.7397803569992902
3.12,3,4.267035730999851
3.12,3,4.280974548999438
3.12,3,4.298704393000662
3.12,3,4.502919975000623
3.12,3,4.5043496730004335
3.12,4,5.638877871000659
3.12,4,5.673995243999343
3.12,4,5.693588591999287
3.12,4,5.727499272999921
3.12,4,5.7319446569999855
3.12,5,7.14902475999952
3.12,5,7.149204137999732
3.12,5,7.151267313000062
3.12,5,7.154334310000195
3.12,5,7.187086854999507
3.12,6,8.610447965000276
3.12,6,8.61191246099952
3.12,6,8.620227477999833
3.12,6,8.632551812999736
3.12,6,8.632705171000453
3.12,6,8.663058817999627
3.12,7,10.078614136000397
3.12,7,10.093410888999642
3.12,7,10.094883253000262
3.12,7,10.101211767999303
3.12,7,10.118719738999971
3.12,7,10.150747581999894
3.12,7,10.336162818000048
3.12,8,11.541422926999985
3.12,8,11.564770959999805
3.12,8,11.609210489999896
3.12,8,11.622581604000516
3.12,8,11.635595108000416
3.12,8,12.066468428000007
3.12,9,12.969964461000018
3.12,9,13.002648764000696
3.12,9,13.010754177999843
3.12,9,13.020311570000558
3.12,9,13.021345156999814
3.12,9,13.023173079000117
3.12,10,14.488305717000003
3.12,10,14.49359623700002
3.12,10,14.495486980999885
3.12,10,14.506897097999172
3.12,10,14.79880942499949
3.13,1,1.4526056029999381
3.13,1,1.4910447820002446
3.13,1,1.5054411490000348
3.13,1,1.5144787310000538
3.13,1,1.5374934010005745
3.13,2,3.0017200230004164
3.13,2,3.029852009000024
3.13,2,3.0450959429999784
3.13,2,3.148334801000601
3.13,2,3.167654955999751
3.13,3,4.656559494999783
3.13,3,4.659111862999453
3.13,3,4.685519294999722
3.13,3,4.704519732000335
3.13,3,4.865718848000142
3.13,4,6.290163580999433
3.13,4,6.35877016699942
3.13,4,6.392505363000055
3.13,4,6.430669286000011
3.13,4,6.488557364999906
3.13,5,7.946050973999263
3.13,5,7.978180582000277
3.13,5,7.98326726400046
3.13,5,8.105274438999913
3.13,5,8.205051593000462
3.13,6,9.595758438999837
3.13,6,9.735328490000029
3.13,6,9.736451718999888
3.13,6,9.79467002399997
3.13,6,9.828504617999897
3.13,7,11.510324642999876
3.13,7,11.5550013940001
3.13,7,11.561105655000574
3.13,7,11.580141344999902
3.13,7,11.602023164999991
3.13,8,12.77249473900065
3.13,8,12.856835366999803
3.13,8,12.874518737000471
3.13,8,12.922773117999895
3.13,8,12.971025721999467
3.13,9,14.520499091000602
3.13,9,14.5806800750006
3.13,9,14.607956961000127
3.13,9,14.782848782000656
3.13,9,14.796534383000107
3.13,10,16.003543601000274
3.13,10,16.017133258000285
3.13,10,16.126939015999596
3.13,10,16.209595586999967
3.13,10,16.218572156000846
3.13t (GIL on),1,2.038599731999966
3.13t (GIL on),1,2.056179565000093
3.13t (GIL on),1,2.0675729940003293
3.13t (GIL on),1,2.1245576999999685
3.13t (GIL on),1,2.2048983199993017
3.13t (GIL on),2,4.209725992000131
3.13t (GIL on),2,4.2235445680007615
3.13t (GIL on),2,4.25305517400011
3.13t (GIL on),2,4.340959334999752
3.13t (GIL on),2,4.5538247610002145
3.13t (GIL on),3,6.57306577899999
3.13t (GIL on),3,6.705166627999461
3.13t (GIL on),3,6.784167087999776
3.13t (GIL on),3,6.892661120000412
3.13t (GIL on),3,7.244368518000556
3.13t (GIL on),4,8.737662663000265
3.13t (GIL on),4,8.897516232999806
3.13t (GIL on),4,9.00250199600032
3.13t (GIL on),4,9.023183520999737
3.13t (GIL on),4,9.072245833000125
3.13t (GIL on),5,11.103883413000403
3.13t (GIL on),5,11.119462065999869
3.13t (GIL on),5,11.13127116600026
3.13t (GIL on),5,11.14141154400022
3.13t (GIL on),5,11.306006043000707
3.13t (GIL on),6,13.328507397000067
3.13t (GIL on),6,13.402858037999977
3.13t (GIL on),6,13.553388061999613
3.13t (GIL on),6,13.731452746000286
3.13t (GIL on),6,13.896151584000108
3.13t (GIL on),7,15.680445972000598
3.13t (GIL on),7,15.717252460999589
3.13t (GIL on),7,15.85188278500027
3.13t (GIL on),7,16.143847409000045
3.13t (GIL on),7,16.314354260999608
3.13t (GIL on),8,18.04567834199952
3.13t (GIL on),8,18.05228295300003
3.13t (GIL on),8,18.133119623999846
3.13t (GIL on),8,18.21577104700009
3.13t (GIL on),8,18.678418815999976
3.13t (GIL on),9,20.307986410000012
3.13t (GIL on),9,20.36015075799969
3.13t (GIL on),9,20.385711353999795
3.13t (GIL on),9,20.6402318370001
3.13t (GIL on),9,20.802998488000412
3.13t (GIL on),10,22.638807311000164
3.13t (GIL on),10,22.68675758400059
3.13t (GIL on),10,22.96058408800036
3.13t (GIL on),10,23.29116649200023
3.13t (GIL on),10,24.086142801999813
3.13t (GIL off),1,2.059381487999417
3.13t (GIL off),1,2.0641737679998187
3.13t (GIL off),1,2.070348236999962
3.13t (GIL off),1,2.0734908880003786
3.13t (GIL off),1,2.082689040000332
3.13t (GIL off),2,2.117892256000232
3.13t (GIL off),2,2.152980930999547
3.13t (GIL off),2,2.2525489939998806
3.13t (GIL off),2,2.334080655999969
3.13t (GIL off),2,2.3407114729998284
3.13t (GIL off),3,2.5811502189999374
3.13t (GIL off),3,2.5893896980005593
3.13t (GIL off),3,2.634486974000538
3.13t (GIL off),3,2.6681225160000395
3.13t (GIL off),3,2.6960706249992654
3.13t (GIL off),4,3.0001550760007376
3.13t (GIL off),4,3.1477478340002563
3.13t (GIL off),4,3.1803885019999143
3.13t (GIL off),4,3.216378948000056
3.13t (GIL off),4,3.3545062800003507
3.13t (GIL off),5,3.4861024630008615
3.13t (GIL off),5,3.5134693270010757
3.13t (GIL off),5,3.55424309099908
3.13t (GIL off),5,3.576789407999968
3.13t (GIL off),5,3.5899675870005012
3.13t (GIL off),6,3.8138669279996975
3.13t (GIL off),6,3.830776521000189
3.13t (GIL off),6,3.9013560710000093
3.13t (GIL off),6,3.948313586999575
3.13t (GIL off),6,3.977262274000168
3.13t (GIL off),7,4.233502478999981
