python,threads,seconds
3.12,1,1.6167850980018557
3.12,1,1.5893613999978697
3.12,1,1.595783204997133
3.12,1,1.6229920300029335
3.12,1,1.601877355002216
3.12,2,3.273815612999897
3.12,2,3.264639682998677
3.12,2,3.2814007279994257
3.12,2,3.2967408069998783
3.12,2,3.3097324640002626
3.12,3,4.959194002000004
3.12,3,4.9826916990023165
3.12,3,4.989614348000032
3.12,3,4.987466792001214
3.12,3,4.95907954300128
3.12,4,6.620533527999214
3.12,4,6.572718556999462
3.12,4,6.643193636002252
3.12,4,6.593654857999354
3.12,4,6.631763372999558
3.12,5,8.34123701399949
3.12,5,8.131208990002051
3.12,5,8.135288625999237
3.12,5,8.115088606999052
3.12,5,8.144278711999505
3.12,6,9.791196499001671
3.12,6,9.813760871998966
3.12,6,9.810381950999727
3.12,6,9.786202309001965
3.12,6,9.821494738000183
3.12,7,11.428098647000297
3.12,7,11.454482247998385
3.12,7,11.423438891000842
3.12,7,11.429158738999831
3.12,7,11.494361638000555
3.12,7,11.442028920002485
3.12,7,11.459264855002402
3.12,7,11.434507271002076
3.12,8,13.154986609999469
3.12,8,13.137387013000989
3.12,8,13.149587915002485
3.12,8,13.141267931001494
3.12,8,13.131569040000613
3.12,9,14.818584683998779
3.12,9,14.779611583999213
3.12,9,14.85035267800049
3.12,9,14.936020178000035
3.12,9,14.888629496999783
3.12,10,16.494835818000865
3.12,10,16.52170243100045
3.12,10,16.383074032997683
3.12,10,16.468056420999346
3.12,10,16.438899663000484
3.13,1,1.506625609999901
3.13,1,1.528135234999354
3.13,1,1.535411019998719
3.13,1,1.503571674998966
3.13,1,1.5089633610004967
3.13,2,3.130032374003349
3.13,2,3.1285214079980506
3.13,2,3.1361670730002515
3.13,2,3.1453136979980627
3.13,2,3.1394223559982493
3.13,3,4.7700741730004665
3.13,3,4.7029337549975025
3.13,3,4.748352433001855
3.13,3,4.7391729400005715
3.13,3,4.75732962300026
3.13,4,6.396649411002727
3.13,4,6.2773965380001755
3.13,4,6.316844131000835
3.13,4,6.304177474998141
3.13,4,6.326903624001716
3.13,5,7.949291795001045
3.13,5,7.944259741998394
3.13,5,7.980765918000543
3.13,5,7.94873058200028
3.13,5,7.970075637000264
3.13,6,9.512840406001487
3.13,6,9.518236845000501
3.13,6,9.573679755001649
3.13,6,9.518751323001197
3.13,6,9.604141036001238
3.13,7,11.167755703001603
3.13,7,11.212075471001299
3.13,7,11.187995849999425
3.13,7,11.17050822300007
3.13,7,11.19935866599917
3.13,7,11.20193208099954
3.13,8,12.848266519999015
3.13,8,12.788366952001525
3.13,8,12.817743638999673
3.13,8,12.700774861001264
3.13,8,12.767423923000024
3.13,9,14.407486116000655
3.13,9,14.41260710899951
3.13,9,14.361858000000211
3.13,9,14.401381614999991
3.13,9,14.40556186899994
3.13,10,15.972966894001729
3.13,10,15.998240562999854
3.13,10,16.127217190998635
3.13,10,16.062733310998738
3.13,10,16.059287408999808
3.13,10,15.9893913709966
3.13,10,16.041180330001225
3.13t (GIL on),1,2.745885600001202
3.13t (GIL on),1,2.686686897999607
3.13t (GIL on),1,2.671247708996816
3.13t (GIL on),1,2.846670095997979
3.13t (GIL on),1,2.646512110000913
3.13t (GIL on),2,5.442764409999654
3.13t (GIL on),2,5.598778494000726
3.13t (GIL on),2,5.591584707002767
3.13t (GIL on),2,5.419537662000948
3.13t (GIL on),2,5.447461829997337
3.13t (GIL on),2,5.738007889001892
3.13t (GIL on),3,8.311606605002453
3.13t (GIL on),3,8.229199820001668
3.13t (GIL on),3,8.916051465999772
3.13t (GIL on),3,8.234101655001723
3.13t (GIL on),3,8.452070456998626
3.13t (GIL on),4,11.020135630998993
