python,jit,n,seconds
3.12,unsupported,500,0.009369454997795401
3.12,unsupported,500,0.007353717002843041
3.12,unsupported,500,0.006998583001404768
3.12,unsupported,500,0.007619179999892367
3.12,unsupported,500,0.00877314299941645
3.12,unsupported,1000,0.031133521999436198
3.12,unsupported,1000,0.0323545440005546
3.12,unsupported,1000,0.03183418000116944
3.12,unsupported,1000,0.031146034998528194
3.12,unsupported,1000,0.03111951399841928
3.12,unsupported,5000,1.1521984069986502
3.12,unsupported,5000,1.1638271820011141
3.12,unsupported,5000,1.15261974799796
3.12,unsupported,5000,1.1694310819984821
3.12,unsupported,5000,1.1625076089985669
3.12,unsupported,10000,6.36163999800192
3.12,unsupported,10000,6.338171537998278
3.12,unsupported,10000,6.33395152400044
3.12,unsupported,10000,6.7673945969982015
3.12,unsupported,10000,6.372794914001133
3.12,unsupported,15000,18.15166205100104
3.12,unsupported,15000,18.44748627900117
3.12,unsupported,15000,18.23540391699862
3.12,unsupported,15000,18.1691022720006
3.12,unsupported,15000,18.12873476999812
3.12,unsupported,20000,39.916185784000845
3.12,unsupported,20000,39.10055238399946
3.12,unsupported,20000,39.10745589200087
3.12,unsupported,20000,39.06687986600082
3.12,unsupported,20000,40.067064240000036
3.12,unsupported,30000,118.44751215999999
3.12,unsupported,30000,123.14322116299999
3.12,unsupported,30000,120.027523513
3.12,unsupported,30000,121.24779327699997
3.12,unsupported,30000,120.31818975500005
3.13,unsupported,500,0.005844719999998915
3.13,unsupported,500,0.006008251000025666
3.13,unsupported,500,0.005726095999989411
3.13,unsupported,500,0.005635914000009734
3.13,unsupported,500,0.006052468999996563
3.13,unsupported,1000,0.026009974000004377
3.13,unsupported,1000,0.025930739999978414
3.13,unsupported,1000,0.026180298999975093
3.13,unsupported,1000,0.025545633999996653
3.13,unsupported,1000,0.026703069999996387
3.13,unsupported,5000,1.0303426090000016
3.13,unsupported,5000,1.022278263000004
3.13,unsupported,5000,1.0137221100000033
3.13,unsupported,5000,1.029508270000008
3.13,unsupported,5000,1.007983902999996
3.13,unsupported,10000,5.790301991000007
3.13,unsupported,10000,5.8135147920000065
3.13,unsupported,10000,5.794255214000003
3.13,unsupported,10000,5.803752430000003
3.13,unsupported,10000,5.803060695999989
3.13,unsupported,15000,16.90848988999997
3.13,unsupported,15000,16.93269645099997
3.13,unsupported,15000,16.921878643000014
3.13,unsupported,15000,17.084298941000043
3.13,unsupported,15000,16.881450298999994
3.13,unsupported,20000,37.10813562300001
3.13,unsupported,20000,37.10708452199998
3.13,unsupported,20000,37.12908822899999
3.13,unsupported,20000,37.05972656099999
3.13,unsupported,20000,37.547475021000025
3.13,off,500,0.00579837400073302
3.13,off,500,0.006506813002488343
3.13,off,500,0.00588250099826837
3.13,off,500,0.006681314000161365
3.13,off,500,0.0057909549977921415
3.13,off,1000,0.025892514000588562
3.13,off,1000,0.02633745999992243
3.13,off,1000,0.02638619000208564
3.13,off,1000,0.02554364500247175
3.13,off,1000,0.026637132999894675
3.13,off,5000,1.0050257449984201
3.13,off,5000,1.0097730110028351
3.13,off,5000,1.021126154002559
3.13,off,5000,1.0117620229975728
3.13,off,5000,1.0098318479977024
3.13,off,10000,5.747700055002497
3.13,off,10000,5.8320127469996805
3.13,off,10000,5.781688287999714
3.13,off,10000,5.784440583000105
3.13,off,10000,5.797936356000719
3.13,off,15000,16.8618842399992
3.13,off,15000,16.855940622997878
3.13,off,15000,16.880565868999838
3.13,off,15000,16.848944581997785
3.13,off,15000,17.16575363499942
3.13,off,20000,37.55678654000076
3.13,off,20000,36.95832089100077
3.13,off,20000,36.98102991000269
3.13,off,20000,36.9898522600015
3.13,off,20000,38.0725489510005
3.13,off,30000,116.13733132400012
3.13,off,30000,116.78851730499991
3.13,off,30000,116.09899993599902
3.13,off,30000,114.01790211499974
3.13,off,30000,116.06904446399858
3.13,on,500,0.0054716880003979895
3.13,on,500,0.005896999999094987
3.13,on,500,0.005212731997744413
3.13,on,500,0.005627610000374261
3.13,on,500,0.005842896000103792
3.13,on,1000,0.023059297000145307
3.13,on,1000,0.022721842000464676
3.13,on,1000,0.022886938000738155
3.13,on,1000,0.02477407400147058
3.13,on,1000,0.021413954000308877
3.13,on,5000,0.8919412239993108
3.13,on,5000,0.9226561130017217
3.13,on,5000,0.9023900600004708
3.13,on,5000,0.8861959220012068
3.13,on,5000,0.8951090590016975
3.13,on,10000,5.471404212999914
3.13,on,10000,5.259307510998042
3.13,on,10000,5.263253892000648
3.13,on,10000,5.25580121999883
3.13,on,10000,5.271517570003198
3.13,on,15000,15.553052467999805
3.13,on,15000,15.510835755998414
3.13,on,15000,15.497080874996755
3.13,on,15000,15.557670534999488
3.13,on,15000,15.762930607997987
3.13,on,20000,34.66291092699976
3.13,on,20000,34.60241940000196
3.13,on,20000,34.9378525050015
3.13,on,20000,34.771317623999494
3.13,on,20000,34.60064512499957
3.13,on,30000,115.17620235099912
3.13,on,30000,111.08065649899982
3.13,on,30000,111.32822081300037
3.13,on,30000,110.71809967599984
3.13,on,30000,109.9566754059997
