price,year,condition,cylinders,fuel,odometer,transmission,size,type
7000,2011,good,4 cylinders,gas,76202,automatic,compact,sedan
10900,2014,excellent,4 cylinders,gas,63000,manual,compact,sedan
13300,2012,excellent,6 cylinders,gas,96000,automatic,mid-size,sedan
14900,2016,excellent,4 cylinders,gas,48900,automatic,mid-size,sedan
18900,2016,excellent,6 cylinders,gas,58112,automatic,mid-size,sedan
5800,2008,good,4 cylinders,gas,97540,automatic,sub-compact,sedan
9750,2013,good,4 cylinders,gas,77000,automatic,compact,sedan
14500,2012,excellent,6 cylinders,gas,43400,automatic,compact,coupe
12500,2014,excellent,4 cylinders,gas,77945,automatic,full-size,sedan
5995,2009,excellent,4 cylinders,gas,69000,manual,compact,sedan
7990,2010,excellent,6 cylinders,gas,95000,automatic,full-size,sedan
7900,2013,excellent,6 cylinders,gas,82000,automatic,full-size,sedan
6950,2016,good,4 cylinders,gas,84000,automatic,mid-size,sedan
16780,2020,excellent,4 cylinders,gas,8805,automatic,full-size,sedan
8499,2008,excellent,4 cylinders,gas,78869,automatic,full-size,sedan
13650,2019,like new,4 cylinders,gas,15776,automatic,full-size,sedan
5275,2009,good,4 cylinders,gas,97000,automatic,compact,sedan
16500,2017,excellent,4 cylinders,gas,16000,automatic,mid-size,sedan
7995,2008,excellent,4 cylinders,gas,82000,automatic,full-size,wagon
15729,2020,like new,4 cylinders,gas,22501,automatic,full-size,sedan
14199,2017,like new,4 cylinders,gas,35650,automatic,full-size,sedan
6500,2012,excellent,4 cylinders,gas,99000,manual,compact,sedan
5000,2014,like new,6 cylinders,gas,85000,automatic,mid-size,sedan
8999,2013,excellent,4 cylinders,gas,99800,automatic,mid-size,sedan
5100,2014,excellent,4 cylinders,gas,42303,automatic,compact,hatchback
3499,2009,fair,4 cylinders,gas,98000,automatic,mid-size,sedan
3999,2004,good,4 cylinders,gas,83000,automatic,mid-size,sedan
13999,2017,excellent,4 cylinders,gas,79900,automatic,full-size,sedan
19990,2017,excellent,6 cylinders,gas,76373,automatic,full-size,coupe
11000,2012,excellent,6 cylinders,gas,94000,automatic,full-size,wagon
12900,2015,excellent,4 cylinders,gas,50000,automatic,compact,hatchback
9500,2013,excellent,4 cylinders,gas,90095,automatic,compact,sedan
7900,2015,excellent,4 cylinders,gas,72869,automatic,mid-size,sedan
