date,day,month,max_temp,min_temp,precipitation,Brooklyn,Manhattan,Williamsburg,Queensboro
01/04/2017,Saturday,April,46,37,0,606,1446,1915,1430
02/04/2017,Sunday,April,62.1,41,0,2021,3943,4207,2862
03/04/2017,Monday,April,63,50,0.03,2470,4988,5178,3689
04/04/2017,Tuesday,April,51.1,46,1.18,723,1913,2279,1666
05/04/2017,Wednesday,April,63,46,0,2807,5276,5711,4197
06/04/2017,Thursday,April,48.9,41,0.73,461,1324,1739,1372
07/04/2017,Friday,April,48,43,0,1222,2955,3399,2765
08/04/2017,Saturday,April,55.9,39.9,0,1674,3163,4082,2691
09/04/2017,Sunday,April,66,45,0,2375,4377,4886,3261
10/04/2017,Monday,April,73.9,55,0,3324,6359,6881,4731
11/04/2017,Tuesday,April,80.1,62.1,0,3887,7247,8079,5501
12/04/2017,Wednesday,April,73.9,57.9,0.02,2565,5633,6620,4537
13/04/2017,Thursday,April,64,48.9,0,3353,6052,6775,4700
14/04/2017,Friday,April,64.9,48.9,0,2942,5054,5877,4142
15/04/2017,Saturday,April,64.9,52,0,2253,3853,4965,3291
16/04/2017,Sunday,April,84.9,62.1,0,2877,4585,5259,3687
17/04/2017,Monday,April,73.9,64,0,3152,6352,6924,4658
18/04/2017,Tuesday,April,66,50,0,3415,6691,7341,5012
19/04/2017,Wednesday,April,52,45,0,1965,4632,5234,3996
20/04/2017,Thursday,April,64.9,50,0.17,1567,3365,4302,3056
21/04/2017,Friday,April,53.1,48,0.29,1426,3142,3674,2672
22/04/2017,Saturday,April,55.9,52,0.11,1318,2297,2963,2366
23/04/2017,Sunday,April,64.9,46.9,0,2520,4681,5105,3434
24/04/2017,Monday,April,60.1,50,0,2544,5366,5762,4183
25/04/2017,Tuesday,April,54,50,0.91,611,1402,1902,1578
26/04/2017,Wednesday,April,59,54,0.34,1247,2774,3429,2369
27/04/2017,Thursday,April,68,59,0,2959,5311,6026,4285
28/04/2017,Friday,April,82.9,57.9,0,3679,6774,7196,5138
29/04/2017,Saturday,April,84,64,0.06,3315,5605,6045,4078
30/04/2017,Sunday,April,64,54,0,2225,4057,4513,3137
01/05/2017,Monday,May,72,50,0,3084,6506,6793,4820
02/05/2017,Tuesday,May,73.9,66.9,0,3423,7035,7789,5449
03/05/2017,Wednesday,May,64.9,57.9,0,3342,6984,7445,4804
04/05/2017,Thursday,May,63,50,0,3019,6525,6922,5144
05/05/2017,Friday,May,59,52,3.02,513,1471,1951,1421
06/05/2017,Saturday,May,64.9,57,0.18,1892,3815,5502,3965
07/05/2017,Sunday,May,54,48.9,0.01,3539,3547,4941,3851
08/05/2017,Monday,May,57,45,0,2886,5812,6249,4432
