year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,4,18,4,2024-04-18,MQ,3535.0,DFW,"Dallas/Fort Worth, TX",Texas,RAP,"Rapid City, SD",South Dakota,1018,1015.0,-3.0,21.0,1036.0,1135.0,4.0,1149,1139.0,-10.0,0,,0,151.0,144.0,119.0,835.0,0,0,0,0,0
2024,1,1,1,2024-01-01,AA,148.0,CLT,"Charlotte, NC",North Carolina,PHX,"Phoenix, AZ",Arizona,1637,1633.0,-4.0,14.0,1647.0,1900.0,6.0,1923,1906.0,-17.0,0,,0,286.0,273.0,253.0,1773.0,0,0,0,0,0
2024,12,12,4,2024-12-12,9E,5440.0,CHA,"Chattanooga, TN",Tennessee,ATL,"Atlanta, GA",Georgia,1000,952.0,-8.0,13.0,1005.0,1034.0,8.0,1059,1042.0,-17.0,0,,0,59.0,50.0,29.0,106.0,0,0,0,0,0
2024,4,8,1,2024-04-08,WN,1971.0,OMA,"Omaha, NE",Nebraska,LAS,"Las Vegas, NV",Nevada,1330,1334.0,4.0,8.0,1342.0,1425.0,6.0,1430,1431.0,1.0,0,,0,180.0,177.0,163.0,1099.0,0,0,0,0,0
2024,2,16,5,2024-02-16,WN,862.0,BWI,"Baltimore, MD",Maryland,MYR,"Myrtle Beach, SC",South Carolina,1340,1333.0,-7.0,16.0,1349.0,1505.0,4.0,1510,1509.0,-1.0,0,,0,90.0,96.0,76.0,399.0,0,0,0,0,0
2024,4,15,1,2024-04-15,WN,2358.0,SAN,"San Diego, CA",California,PHX,"Phoenix, AZ",Arizona,715,708.0,-7.0,13.0,721.0,812.0,4.0,830,816.0,-14.0,0,,0,75.0,68.0,51.0,304.0,0,0,0,0,0
2024,11,27,3,2024-11-27,G4,163.0,MLB,"Melbourne, FL",Florida,ABE,"Allentown/Bethlehem/Easton, PA",Pennsylvania,933,924.0,-9.0,12.0,936.0,1153.0,5.0,1202,1158.0,-4.0,0,,0,149.0,154.0,137.0,914.0,0,0,0,0,0
2024,8,31,6,2024-08-31,AS,1269.0,BNA,"Nashville, TN",Tennessee,PDX,"Portland, OR",Oregon,1855,1850.0,-5.0,21.0,1911.0,2125.0,3.0,2155,2128.0,-27.0,0,,0,300.0,278.0,254.0,1973.0,0,0,0,0,0
2024,4,19,5,2024-04-19,OO,3438.0,LAX,"Los Angeles, CA",California,SJC,"San Jose, CA",California,820,814.0,-6.0,29.0,843.0,932.0,5.0,939,937.0,-2.0,0,,0,79.0,83.0,49.0,308.0,0,0,0,0,0
2024,2,8,4,2024-02-08,OO,5654.0,SFO,"San Francisco, CA",California,BFL,"Bakersfield, CA",California,2235,2227.0,-8.0,17.0,2244.0,2324.0,3.0,2350,2327.0,-23.0,0,,0,75.0,60.0,40.0,238.0,0,0,0,0,0
2024,9,19,4,2024-09-19,G4,1510.0,DSM,"Des Moines, IA",Iowa,AUS,"Austin, TX",Texas,1501,1548.0,47.0,12.0,1600.0,1736.0,7.0,1707,1743.0,36.0,0,,0,126.0,115.0,96.0,813.0,0,0,0,0,36
2024,3,28,4,2024-03-28,AA,2050.0,MIA,"Miami, FL",Florida,LGA,"New York, NY",New York,2039,2115.0,36.0,48.0,2203.0,20.0,5.0,2337,25.0,48.0,0,,0,178.0,190.0,137.0,1096.0,19,0,12,0,17
2024,6,14,5,2024-06-14,AA,1911.0,RIC,"Richmond, VA",Virginia,CLT,"Charlotte, NC",North Carolina,635,639.0,4.0,27.0,706.0,758.0,7.0,759,805.0,6.0,0,,0,84.0,86.0,52.0,257.0,0,0,0,0,0
2024,10,26,6,2024-10-26,WN,1102.0,TPA,"Tampa, FL",Florida,BNA,"Nashville, TN",Tennessee,1925,1911.0,-14.0,6.0,1917.0,1944.0,4.0,2015,1948.0,-27.0,0,,0,110.0,97.0,87.0,612.0,0,0,0,0,0
2024,8,21,3,2024-08-21,AA,2832.0,LAX,"Los Angeles, CA",California,PHL,"Philadelphia, PA",Pennsylvania,905,903.0,-2.0,13.0,916.0,1656.0,11.0,1725,1707.0,-18.0,0,,0,320.0,304.0,280.0,2402.0,0,0,0,0,0
